id,AuthorName,date,PERMNO,TICKER,company
1240,Kerrisdale Capital Mana,9-May-17,16066,PLSE,Pulse Biosciences Inc
1394,Hindenburg Research,24-Apr-18,16066,PLSE,Pulse Biosciences Inc
1485,Pinnacle View Capital,3-Dec-18,54148,PHM,PulteGroup Inc
50,Citron Research,24-Jun-08,64822,PDO,PYRAMID OIL CO
251,Citron Research,1-Nov-11,12636,QIHU,QIHOO 360 TECHNOLOGY CO LTD
260,Richard Pearson,15-Dec-11,12636,QIHU,QIHOO 360 TECHNOLOGY CO LTD
284,Matt Berry,2-May-12,12636,QIHU,QIHOO 360 TECHNOLOGY CO LTD
295,Anonymous Analytics,2-Jul-12,12636,QIHU,QIHOO 360 TECHNOLOGY CO LTD
785,The Emperor Has No Clot,15-Jun-15,13941,QIWI,QIWI PLC
1505,Kerrisdale Capital Mana,23-Jan-19,77178,QCOM,QUALCOMM Incorporated
264,The Street Sweeper,11-Jan-12,78051,QCOR,QUESTCOR PHARMACEUTICALS INC
296,Citron Research,10-Jul-12,78051,QCOR,QUESTCOR PHARMACEUTICALS INC
457,Ikarian Point Research,22-Oct-13,78051,QCOR,QUESTCOR PHARMACEUTICALS INC
490,Whitney Tilson,19-Dec-13,78051,QCOR,QUESTCOR PHARMACEUTICALS INC
464,Quoth the Raven,31-Oct-13,78051,QCOR,Questcor Pharmaceuticals Inc.
546,Kerrisdale Capital Mana,8-May-14,75527,ZQK,QUIKSILVER INC
764,The Street Sweeper,12-May-15,93266,QNST,QUINSTREET INC
1353,Culper Research,19-Jan-18,93266,QNST,QuinStreet Inc
1385,Kerrisdale Capital Mana,11-Apr-18,93266,QNST,QuinStreet Inc.
1637,Wolfpack Research,10-Dec-19,18127,QTT,Qutoutiao Inc.
661,The Street Sweeper,2-Dec-14,85397,RDCM,RADCOM LTD
1252,Spruce Point Capital Ma,8-Jun-17,13196,RLGT,Radiant Logistics Inc.
1042,The Street Sweeper,30-Jun-16,82521,RSYS,RadiSys Corporation
913,Muddy Waters Research,17-Dec-15,52250,GENC,RALLYE
1409,Viola Capital Managemen,3-May-18,85072,RL,Ralph Lauren Corporation
441,Gravity Research,29-Aug-13,88148,RPTP,RAPTOR PHARMACEUTICAL CORP
132,Shareholder Watchdog,21-Oct-10,12057,REE,RARE ELEMENT RESOURCES LTD
965,GeoInvesting (FG Alpha,11-Mar-16,62033,RAVN,Raven Industries Inc.
982,The Street Sweeper,13-Apr-16,15298,RELYQ,"Real Industry, Inc."
88,Pershing Square,7-Oct-09,81045,O,REALTY INCOME CORP
1363,Spruce Point Capital Ma,7-Feb-18,81045,O,Realty Income Corporation
656,The Street Sweeper,17-Nov-14,13942,RCPT,RECEPTOS INC
1418,Edward Vranic,31-May-18,89453,RRGB,Red Robin Gourmet Burgers Inc.
1412,Fuzzy Panda,10-May-18,17343,RDVT,Red Violet
657,Richard Pearson,19-Nov-14,13652,RGLS,REGULUS THERAPEUTICS INC
430,Matt Berry,5-Aug-13,79065,RELV,Reliv International Inc.
1027,The Street Sweeper,9-Jun-16,14321,RLYP,"Relypsa, Inc."
1029,White Diamond Research,14-Jun-16,14321,RLYP,"Relypsa, Inc."
1361,J Capital Research Limi,6-Feb-18,89756,MARK,Remark Holdings Inc
1729,Wolfpack Research,11-Aug-20,89756,MARK,Remark Holdings Inc
488,Prescience Investment G,13-Dec-13,13201,REGI,RENEWABLE ENERGY GROUP INC
489,Richard Pearson,18-Dec-13,13201,REGI,RENEWABLE ENERGY GROUP INC
1081,The Street Sweeper,30-Aug-16,76978,RTK,Rentech Inc.
60,Ian Bezek,25-Jan-09,79025,RPRX,REPROS THERAPEUTICS INC
57,Citron Research,23-Oct-08,86287,RBCAA,REPUBLIC BANCORP INC KY
573,Bleecker Street Researc,19-Jun-14,10463,REFR,RESEARCH FRONTIERS INC
635,ThickFile Research,9-Oct-14,81736,RMD,RESMED INC
1080,The Street Sweeper,25-Aug-16,93031,REN,Resolute Energy Corporation
713,The Street Sweeper,10-Mar-15,14667,RESN,RESONANT INC
1614,White Diamond Research,9-Oct-19,14667,RESN,Resonant Inc
1397,Kynikos Associates (Jim,26-Apr-18,15113,QSR.T,Restaurant Brands International
1630,Et al BioCapital,12-Nov-19,17272,TORC,resTORbio Inc
894,Richard Pearson,20-Nov-15,14467,RVNC,REVANCE THERAPEUTICS INC
413,The Street Sweeper,2-Jul-13,80368,RVLT,REVOLUTION LIGHTING TECH INC
917,White Diamond Research,30-Dec-15,14936,RWLK,ReWalk Robotics Ltd
682,Long-Short Value,26-Jan-15,14409,RICE,Rice Energy Inc
137,Muddy Waters Research,10-Nov-10,79365,RINO,RINO INTERNATIONAL CORP
1339,Hindenburg Research,11-Dec-17,92213,RIOT,Riot Blockchain Inc
1345,Citron Research,18-Dec-17,92213,RIOT,Riot Blockchain Inc
1708,White Diamond Research,4-Jun-20,92213,RIOT,Riot Blockchain Inc
96,Shareholder Watchdog,10-Feb-10,85925,RBA,RITCHIE BROS AUCTIONEERS INC
212,The Street Sweeper,29-Jun-11,87816,RCPIQ,"Rock Creek Pharmaceuticals, Inc."
645,Phase Five Research,29-Oct-14,85744,RMTI,ROCKWELL MEDICAL INC
1331,Citron Research,28-Nov-17,16932,ROKU,"Roku, Inc."
199,Ian Bezek,31-May-11,92913,RST,ROSETTA STONE INC
669,Jay Yoon,23-Dec-14,92913,RST,Rosetta Stone Inc
758,Kynikos Associates (Jim,7-May-15,90794,RDSA.,Royal Dutch Shell PLC (A)
634,Alpha Exposure,8-Oct-14,14261,SFXE,S F X ENTERTAINMENT INC
980,Spruce Point Capital Ma,13-Apr-16,14608,SABR,Sabre Corporation
971,Kerrisdale Capital Mana,23-Mar-16,14828,SAGE,Sage Therapeutics Inc
411,CDM Capital,22-Jun-13,13545,SAND,SANDSTORM GOLD LTD
711,Alpha Exposure,9-Mar-15,88195,SGMO,SANGAMO BIOSCIENCES INC
449,The Street Sweeper,19-Sep-13,88195,SGMO,Sangamo Therapeutics Inc
1688,Hindenburg Research,17-Apr-20,16376,WORX,SCWorx Corp.
99,Citron Research,1-Mar-10,90118,SA,SEABRIDGE GOLD INC
389,Kynikos Associates,8-May-13,89641,STX,SEAGATE TECHNOLOGY PLC
873,Lakewood Capital Manage,30-Oct-15,89641,STX,SEAGATE TECHNOLOGY PLC
1589,Upslope Capital Managem,15-Aug-19,85926,SEE,Sealed Air Corporation
259,John Hempton,8-Dec-11,89757,SHLD,SEARS HOLDINGS CORP
705,The Street Sweeper,2-Mar-15,15062,EYES,SECOND SIGHT MEDICAL PRODUCTS I
1410,Cliffside Research,9-May-18,15062,EYES,Second Sight Medical Products In
1319,Soapbox Research,30-Oct-17,16933,SECO,Secoo Holding Limited
327,Kerrisdale Capital Mana,15-Nov-12,13447,NOW,SERVICENOW INC
370,Richard Pearson,1-Apr-13,13447,NOW,SERVICENOW INC
922,Long-Short Value,5-Jan-16,15167,SHAK,Shake Shack Inc
89,Chimin Sang,8-Oct-09,93042,GAME,SHANDA GAMES LTD
1285,White Diamond Research,1-Sep-17,16795,PIXY,"ShiftPixy, Inc."
728,Hayman Capital Manageme,1-Apr-15,85888,SHP.L,Shire PLC
1591,Cliffside Research,3-Sep-19,18456,SWAV,Shockwave Medical Inc
1303,Citron Research,4-Oct-17,15358,SHOP,Shopify Inc
1428,Absurd Research,26-Jun-18,15358,SHOP.,Shopify Inc
1329,Richard Pearson,21-Nov-17,16805,SSTI,"ShotSpotter, Inc."
1471,Fuzzy Panda,16-Nov-18,16805,SSTI,"ShotSpotter, Inc."
1623,Mako Research,24-Oct-19,16805,SSTI,"ShotSpotter, Inc."
1364,Edward Vranic,7-Feb-18,91486,SFLY,Shutterfly Inc.
240,Shareholder Watchdog,28-Sep-11,90090,SBNY,SIGNATURE BANK NEW YORK N Y
947,Marc Cohodes,12-Feb-16,12076,SIG,Signet Jewelers Limited
1476,Gracian Capital LLC,3-Dec-18,12076,SIG,Signet Jewelers Ltd
238,Alfred Little,13-Sep-11,92893,SVM,SILVERCORP METALS INC
1691,Hindenburg Research,20-Apr-20,92893,SVM,Silvercorp Metals Inc.
